"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"136","83584108","德泰建設有限公司","嘉義縣民雄鄉中和村1鄰原吉仔17號","蕭銘賢","1000000","1090605"
"137","83584114","溱心物流有限公司","雲林縣北港鎮草湖里西湖93之2號","陳建潢","700000","1090605"
"138","83584120","旭泓建設有限公司","嘉義市東區短竹里光正街53巷8號","林威宏","10000000","1090605"
"139","83584135","星業室內裝修設計有限公司","新竹市北區長和里民富街69號1樓","曾薇恩","1000000","1090605"
"140","83584141","旭盛貿易有限公司","新北市淡水區中正東路2段27之2號8樓","葉明海","2500000","1090604"
"141","83584156","仕馬科技股份有限公司","新北市新莊區中正路649之3號7樓","宋子喬","200000","1090604"
"142","83584162","國慧有限公司","新北市板橋區中山路2段212巷4之4號5樓","陳國基","6000000","1090604"
"143","83584178","席克有限公司","新北市板橋區重慶路66號9樓之2","沈湘芸","2000000","1090604"
"144","83584199","兆盈應用材料有限公司","新北市新莊區中華路2段276號10樓","邱鈺娟","1000000","1090604"
"145","83584206","倢旭股份有限公司","新北市板橋區文化路1段310號3樓","蔡承翰","100000","1090604"
"146","83584212","源泰資產股份有限公司","新北市五股區成泰路1段2號11樓","范秋芬","210000000","1090604"
"147","83584228","六六六映像有限公司","新北市新店區北新路1段297巷35號3樓","吳尚融","200000","1090604"
"148","83584233","花火咻碰娛樂有限公司","新北市板橋區南雅西路2段287巷10號","伍家緯","50000","1090604"
"149","83584249","翡冷翠文創事業有限公司","新北市中和區中正路142號10樓之1","陳昭蓉","5000000","1090604"
"150","83584254","上閤興建設投資股份有限公司","新北市鶯歌區永福街3巷6號7樓","吳憲昌","5000000","1090604"
"151","83584260","海爾斯威爾股份有限公司","新北市新店區北新路1段293號11樓之7","李永健","800000","1090605"
"152","83584276","億軒開發股份有限公司","新北市五股區五權三路25號","黃天然","25000000","1090605"
"153","83584281","真勇有限公司","新北市板橋區金門街274號4樓","高嘉楠","1000000","1090605"
"154","83584297","穎新室內裝修有限公司","新北市林口區文化二路1段118號3樓之2","王華新","2000000","1090605"
"155","83584304","海威萊康電子有限公司","新北市汐止區大同路2段173號6樓","楊震威","2000000","1090605"
"156","83584310","翰邑有限公司","新北市三重區成功路110號20樓之5","林昕嬡","100000","1090605"
"157","83584326","海邑國際貿易股份有限公司","新北市淡水區新市五路3段316號","林承翰","1000000","1090605"
"158","83584331","霖創營造股份有限公司","新北市三重區重新路4段65號5樓之10","曾世鈜","3600000","1090605"
"159","83584347","延豐機電有限公司","新北市三重區新生街63號","楊柏文","1000000","1090605"
"160","83584352","偉璨通信有限公司","新北市鶯歌區國慶街139之1號","黃于鳳","200000","1090605"
"161","83584368","卓銳工業有限公司","新北市新莊區瓊林路50號3樓","江尚恩","1000000","1090605"
"162","83584374","藍淩實業有限公司","新北市中和區景平路268號17樓之12","邵信凱","1000000","1090605"
"163","83584389","新詮麗科技有限公司","新北市五股區水碓路16巷4號6樓","謝褚俊","3000000","1090605"
"164","83584395","毅石股份有限公司","新北市新莊區復興路1段1號之2","胡馨勻","2627716","1090605"
"165","83584402","源洋海業股份有限公司","新北市林口區麗園路28號(1樓及地下一層)","林嘉 賢","2000000","1090605"
"166","83584450","禾創生技有限公司","新北市林口區八德路68號19樓","謝進財","3000000","1090605"
"167","83584466","家悅環境維護管理顧問有限公司","新北市板橋區民生路1段33號12樓之3","李宜姍","2000000","1090605"
"168","83584472","來自火星文娛傳媒有限公司","新北市林口區文化二路1段266號16樓之2","于宸鈞","300000","1090605"
"169","83584493","泛宇民用航空總代理有限公司","新北市汐止區民族二街32巷6號7樓","東大華","2000000","1090605"
"170","83584509","米粒整合行銷有限公司","新北市中和區中山路2段332巷59號4樓","林佳杏","200000","1090605"
"171","83584515","秝澄行銷有限公司","新北市五股區成泰路1段61巷22號5樓","呂理仲","1000000","1090605"
"172","83584521","新律生技有限公司","新北市新莊區中港路419號2樓","林珊羽","1000000","1090605"
"173","83584536","家築興業有限公司","新北市中和區建八路2號11樓之4","林玉惠","1000000","1090608"
"174","83584542","木樂股份有限公司","新北市中和區自強路15巷7號(1樓)","劉翰穎","5000000","1090609"
"175","83584557","潤鼎股份有限公司","新北市林口區文化北路1段390之1號","謝邱阿菊","2000000","1090608"
"176","83584563","晶昱泰科技股份有限公司","新北市板橋區僑中二街120巷14號2樓","楊明智","5000000","1090608"
"177","83584579","冠芯有限公司","新北市中和區信和里新生街148巷9號","曾鴻仁","500000","1090608"
"178","83584584","七福環保科技有限公司","新北市永和區保平路203巷6弄5號3樓","陳學霖","2000000","1090608"
"179","83584590","品渥布料實業有限公司","新北市三重區重新路5段609巷12號4樓之5","洪慧如","200000","1090608"
"180","83584607","黃匠時代工坊有限公司","新北市三重區重新路5段609巷18號8樓之2","黃于軒","1000000","1090608"
"181","83584613","廣閤餐飲企業有限公司","新北市三重區力行路1段168號2樓","余慶崇","1650000","1090608"
"182","83584629","創頑整合行銷有限公司","新北市新店區北新路1段293號18樓之2","周美辰","1000000","1090608"
"183","83584634","百益企業有限公司","新北市中和區新生街30巷25號","沈俊吉","5000000","1090608"
"184","83584640","微笑原木生活工場有限公司","新北市樹林區柑園街1段33巷12號","王藏武","3000000","1090608"
"185","83584655","神農國際健康產業有限公司","新北市三重區新北大道1段169號13樓","楊子寬","20000","1090608"
"186","83584661","黑羊科技有限公司","新北市新莊區建安街16巷2號","羅義雄","500000","1090608"
"187","83584677","承林企業有限公司","新北市淡水區中山北路3段112號","陳敬孝","3000000","1090608"
"188","83584682","鄭邦室內裝修有限公司","新北市板橋區文化路2段225巷72弄42號","鄭羽翔","100000","1090608"
"189","83584698","翔霖地產開發有限公司","新北市淡水區新市五路3段238號24樓","陳盈君","1000000","1090608"
"190","83584705","禾銘環境工程顧問有限公司","新北市汐止區新台五路1段102號21樓","陳一銘","1000000","1090608"
"191","83584711","佳捷汽車國際有限公司","新北市樹林區大成路33號9樓","吳定諺","100000","1090609"
"192","83584727","仁集生技有限公司","新北市淡水區沙崙路17號17樓","李仁繼","1000000","1090608"
"193","83584732","富可投資有限公司","新北市新店區北新路1段46號","黃秀香","20000000","1090608"
"194","83584748","和順佳投資有限公司","新北市貢寮區和美街3號","賴順平","9000000","1090608"
"195","83584753","幼康有限公司","新北市中和區中山路3段219號12樓","劉謹溶","150000","1090608"
"196","83584769","遠寬投資股份有限公司","新北市新店區安興路115號13樓之5","嚴文遠","25000000","1090608"
"197","83584775","智羚科技有限公司","新北市土城區中央路四段279巷13號9樓之１","謝松海","1000000","1090609"
"198","83584780","家禾隔熱紙有限公司","新北市蘆洲區三民路603號","黃建文","100000","1090608"
"199","83584796","和揚管理顧問有限公司","新北市三重區仁義街241巷46號4樓","賴碧代","100000","1090608"
"200","83584803","居茂環保有限公司","新北市林口區中正路293號(1樓)","張玉琴","1000000","1090609"
